station,lines,exit_no,lat,lng
4.19민주묘지역,W,,37.649341,127.013686
4.19민주묘지역,W,1,37.649707,127.013733
4.19민주묘지역,W,2,37.649576,127.013487
가능역,1,,37.748321,127.044363
가능역,1,1,37.748268,127.044165
가능역,1,2,37.748378,127.044569
가능역,1,3,37.748062,127.044686
가락시장역,3;8,,37.492532,127.118638
가락시장역,3;8,1,37.492514,127.11784
가락시장역,3;8,2,37.492908,127.118044
가락시장역,3;8,2-1,37.492773,127.117778
가락시장역,3;8,3,37.493086,127.118694
가락시장역,3;8,4,37.492798,127.119074
가락시장역,3;8,5,37.492661,127.119201
가락시장역,3;8,6,37.492235,127.119067
가락시장역,3;8,7,37.492106,127.118845
가락시장역,3;8,8,37.491667,127.116233
가산디지털단지역,1;7,,37.480454,126.88288
가산디지털단지역,1;7,,37.481595,126.882617
가산디지털단지역,1;7,10,37.481239,126.882327
가산디지털단지역,1;7,10,37.481239,126.882327
가산디지털단지역,1;7,11,37.481612,126.882328
가산디지털단지역,1;7,11,37.481612,126.882328
가산디지털단지역,1;7,2,37.481678,126.882837
가산디지털단지역,1;7,2,37.481678,126.882837
가산디지털단지역,1;7,3,37.480506,126.883272
가산디지털단지역,1;7,3,37.480506,126.883272
가산디지털단지역,1;7,4,37.481104,126.883296
가산디지털단지역,1;7,4,37.481104,126.883296
가산디지털단지역,1;7,5,37.480852,126.88381
가산디지털단지역,1;7,5,37.480852,126.88381
가산디지털단지역,1;7,6,37.480268,126.88365
가산디지털단지역,1;7,6,37.480268,126.88365
가산디지털단지역,1;7,7,37.479706,126.882053
가산디지털단지역,1;7,7,37.479706,126.882053
가산디지털단지역,1;7,8,37.479826,126.881136
가산디지털단지역,1;7,8,37.479826,126.881136
가산디지털단지역,1;7,9,37.480563,126.88167
가산디지털단지역,1;7,9,37.480563,126.88167
가야대역,BGL,,35.26683,128.864949
가야대역,BGL,1,35.266559,128.864901
가야대역,BGL,2,35.266659,128.865112
가야역,2,,35.155829,129.04279
가야역,2,1,35.155699,129.043178
가야역,2,2,35.156061,129.043071
가야역,2,3,35.155596,129.042589
가야역,2,4,35.155956,129.042513
가양역,9,,37.561142,126.8551
가양역,9,1,37.562625,126.852535
가양역,9,10,37.562395,126.852416
가양역,9,2,37.561481,126.854676
가양역,9,3,37.561552,126.855207
가양역,9,4,37.561434,126.855619
가양역,9,5,37.560939,126.855677
가양역,9,6,37.560715,126.85558
가양역,9,7,37.560553,126.855104
가양역,9,8,37.560687,126.854824
가양역,9,9,37.561239,126.854504
가오리역,W,,37.641974,127.016571
가오리역,W,1,37.641698,127.016927
가오리역,W,2,37.641015,127.016751
가재울역,I2,,37.48395,126.683979
가재울역,I2,1,37.484392,126.683748
가재울역,I2,2,37.483831,126.684493
가재울역,I2,3,37.483613,126.68429
가재울역,I2,4,37.484168,126.683551
가정역,I2,,37.524719,126.675321
가정역,I2,3,37.524462,126.67424
가정역,I2,4,37.525022,126.674279
가정중앙시장역,I2,,37.517498,126.67679
가정중앙시장역,I2,1,37.517524,126.677066
가정중앙시장역,I2,2,37.517568,126.676652
가좌역,경의·중앙,,37.568679,126.915063
가좌역,경의·중앙,1,37.568376,126.914823
가좌역,경의·중앙,2,37.568646,126.914129
가좌역,경의·중앙,3,37.569198,126.914454
가좌역,경의·중앙,4,37.568809,126.915257
가천대역,수인·분당,,37.448699,127.126725
가천대역,수인·분당,1,37.449573,127.126858
가천대역,수인·분당,2,37.448491,127.126956
가천대역,수인·분당,3,37.447652,127.127017
가천대역,수인·분당,4,37.448318,127.126352
가천대역,수인·분당,5,37.449134,127.126355
간석역,1,,37.464734,126.693531
간석역,1,1,37.464441,126.694007
간석역,1,2,37.465077,126.694066
간석오거리역,인천1,,37.467155,126.707949
간석오거리역,인천1,1,37.467465,126.708233
간석오거리역,인천1,2,37.466881,126.708788
간석오거리역,인천1,3,37.466666,126.708648
간석오거리역,인천1,4,37.466619,126.708155
간석오거리역,인천1,5,37.465931,126.707865
간석오거리역,인천1,6,37.46688,126.707542
간석오거리역,인천1,7,37.467154,126.707104
간석오거리역,인천1,8,37.467412,126.707105
간석오거리역,인천1,9,37.467556,126.707709
갈매역,경춘,,37.633946,127.114729
갈매역,경춘,1,37.633786,127.114825
갈매역,경춘,2,37.63386,127.114559
갈산역,인천1,,37.516813,126.721518
갈산역,인천1,1,37.517021,126.72173
갈산역,인천1,2,37.51588,126.721605
갈산역,인천1,3,37.515923,126.721236
갈산역,인천1,4,37.517044,126.721364
감전역,2,,35.155688,128.990871
감전역,2,1,35.155551,128.991129
감전역,2,2,35.155642,128.991229
감전역,2,3,35.155802,128.990805
감전역,2,4,35.15611,128.990839
강남구청역,7,,37.516812,127.041424
강남구청역,7,,37.517176,127.041286
강남구청역,7,1,37.51722,127.041826
강남구청역,7,1,37.51722,127.041826
강남구청역,7,2,37.516864,127.04072
강남구청역,7,2,37.516864,127.04072
강남구청역,7,3,37.517184,127.040689
강남구청역,7,3,37.517184,127.040689
강남구청역,7,3-1,37.517345,127.041096
강남구청역,7,3-1,37.517345,127.041096
강남구청역,7,4,37.517429,127.041822
강남구청역,7,4,37.517429,127.041822
강남역,2,,37.496462,127.028267
강남역,2,,37.49795,127.027557
강남역,2,1,37.49805,127.028627
강남역,2,1,37.49805,127.028627
강남역,2,10,37.498634,127.027025
강남역,2,10,37.498634,127.027025
강남역,2,11,37.498731,127.027407
강남역,2,11,37.498731,127.027407
강남역,2,12,37.498417,127.028544
강남역,2,12,37.498417,127.028544
강남역,2,2,37.497193,127.028113
강남역,2,2,37.497193,127.028113
강남역,2,3,37.496666,127.028476
강남역,2,3,37.496666,127.028476
강남역,2,4,37.495487,127.029065
강남역,2,5,37.495358,127.028618
강남역,2,6,37.496525,127.028046
강남역,2,6,37.496525,127.028046
강남역,2,7,37.497096,127.027716
강남역,2,7,37.497096,127.027716
강남역,2,8,37.497545,127.02707
강남역,2,8,37.497545,127.02707
강남역,2,9,37.497995,127.026896
강남역,2,9,37.497995,127.026896
강동구청역,8,,37.530694,127.120623
강동구청역,8,1,37.530987,127.120856
강동구청역,8,2,37.530634,127.121239
강동구청역,8,3,37.530381,127.121004
강동구청역,8,4,37.530449,127.120433
강동구청역,8,5,37.531034,127.120617
강동역,5,,37.535797,127.132595
강동역,5,1,37.53616,127.132211
강동역,5,2,37.53586,127.133236
강동역,5,2-1,37.535876,127.132863
강동역,5,3,37.535585,127.132621
강동역,5,4,37.535757,127.132044
강매역,경의·중앙,,37.612287,126.844528
강매역,경의·중앙,1,37.612648,126.845729
강매역,경의·중앙,2,37.612324,126.845315
강변역,2,,37.535111,127.094741
강변역,2,1,37.53519,127.094853
강변역,2,2,37.534624,127.0952
강변역,2,3,37.53452,127.094941
강변역,2,4,37.535081,127.094584
강서구청역,3,,35.211226,128.981953
강서구청역,3,1,35.211188,128.982689
강서구청역,3,2,35.211343,128.981654
강서구청역,3,3,35.211094,128.981973
강서구청역,3,5,35.211193,128.981056
강일역,5,,37.557482,127.175763
강일역,5,1,37.557442,127.174349
강일역,5,2,37.557822,127.17654
강일역,5,3,37.55745,127.176714
강일역,5,4,37.556984,127.174477
개금역,2,,35.153254,129.02046
개금역,2,1,35.153034,129.021318
개금역,2,2,35.15341,129.021301
개금역,2,3,35.15294,129.020698
개금역,2,4,35.15344,129.020315
개금역,2,5,35.152749,129.020273
개금역,2,7,35.152892,129.019838
개롱역,5,,37.498075,127.134843
개롱역,5,1,37.498497,127.134555
개롱역,5,2,37.498091,127.13498
개롱역,5,3,37.497893,127.134963
개롱역,5,4,37.498241,127.134119
개봉역,1,,37.494593,126.858754
개봉역,1,1,37.494368,126.858672
개봉역,1,2,37.494872,126.858793
개포동역,수인·분당,,37.489101,127.066043
개포동역,수인·분당,1,37.48912,127.065512
개포동역,수인·분당,2,37.489353,127.065636
개포동역,수인·분당,3,37.489466,127.066161
개포동역,수인·분당,4,37.489364,127.066439
개포동역,수인·분당,5,37.48906,127.066441
개포동역,수인·분당,6,37.488838,127.066381
개포동역,수인·분당,7,37.48866,127.066056
개포동역,수인·분당,8,37.488917,127.065788
개화산역,5,,37.572876,126.80826
개화산역,5,1,37.572093,126.806272
개화산역,5,2,37.572392,126.806104
개화역,9,,37.578538,126.797665
개화역,9,1,37.578609,126.798346
개화역,9,2,37.57844,126.797678
거여역,5,,37.493345,127.143771
거여역,5,1,37.493568,127.143668
거여역,5,2,37.493394,127.144386
거여역,5,3,37.493338,127.144655
거여역,5,4,37.493068,127.144731
거여역,5,5,37.492916,127.144619
거여역,5,6,37.492698,127.144348
거여역,5,7,37.492961,127.144191
거여역,5,8,37.493234,127.143647
거제역,3,,35.188868,129.07399
거제역,3,1,35.188004,129.074676
거제역,3,10,35.189747,129.074282
거제역,3,2,35.188486,129.074929
거제역,3,3,35.187983,129.073722
거제역,3,4,35.188957,129.074847
거제역,3,5,35.188049,129.073067
거제역,3,6,35.18923,129.074608
거제역,3,7,35.188456,129.073008
거제역,3,8,35.189002,129.074132
거제역,3,9,35.189495,129.074677
거제해맞이역,동해,,35.181409,129.069091
거제해맞이역,동해,1,35.18152,129.068985
거제해맞이역,동해,2,35.181041,129.069151
거제해맞이역,동해,3,35.180571,129.068929
건대입구역,2;7,,37.540363,127.069384
건대입구역,2;7,,37.540444,127.070864
건대입구역,2;7,1,37.54081,127.06873
건대입구역,2;7,1,37.54081,127.06873
건대입구역,2;7,2,37.540136,127.070434
건대입구역,2;7,2,37.540136,127.070434
건대입구역,2;7,3,37.540877,127.071427
건대입구역,2;7,3,37.540877,127.071427
건대입구역,2;7,4,37.540027,127.071026
건대입구역,2;7,4,37.540027,127.071026
건대입구역,2;7,5,37.53993,127.070371
